Intention,Usefulness,Ease,Trust,Gender,Condition,AgeGroup
99,83,99,76.0,1,1,0
0,50,50,50.0,1,2,0
0,100,100,100.0,0,1,0
18,0,0,22.0,0,1,0
50,50,45,30.0,1,2,1
100,100,50,50.0,1,2,0
100,100,50,100.0,1,2,0
100,100,100,100.0,1,0,0
16,0,0,0.0,1,2,0
43,24,16,0.0,1,0,0
100,100,100,20.0,0,2,1
50,50,50,100.0,0,2,1
50,50,50,100.0,0,2,1
93,82,86,83.0,1,1,2
81,90,100,68.0,0,1,0
50,100,100,100.0,0,0,0
100,100,26,82.0,1,0,0
89,76,80,77.0,0,0,2
7,50,14,6.0,1,0,3
0,0,30,26.0,0,0,2
50,50,22,90.0,1,2,0
23,92,19,29.0,0,1,1
78,50,100,99.0,0,2,1
35,50,35,80.0,1,0,1
100,95,98,100.0,0,1,1
88,94,91,77.0,1,1,1
96,93,99,75.0,0,2,3
69,71,97,82.0,0,0,3
65,59,76,50.0,0,1,3
25,32,50,36.0,1,1,1
26,65,69,42.0,1,0,1
25,50,70,30.0,1,0,1
65,24,74,66.0,1,1,1
57,60,35,100.0,0,1,0
60,10,10,70.0,1,0,1
50,50,50,100.0,0,2,1
60,70,50,35.0,0,2,1
85,85,81,50.0,0,0,0
12,50,54,23.0,1,0,1
0,0,5,0.0,0,2,1
20,1,26,8.0,0,1,3
24,57,80,80.0,0,2,2
0,0,0,0.0,1,2,2
58,51,50,36.0,1,2,0
100,0,84,50.0,0,2,0
50,58,25,100.0,0,1,0
100,100,100,100.0,1,0,0
25,5,0,10.0,1,0,0
61,80,50,90.0,1,0,1
60,20,50,90.0,0,1,3
45,60,55,35.0,1,2,0
75,100,100,70.0,1,2,1
95,87,95,94.0,0,0,0
77,82,80,100.0,0,1,0
7,10,9,35.0,0,0,1
25,50,25,0.0,0,0,1
50,50,50,70.0,0,0,0
85,82,50,79.0,0,1,2
60,70,55,100.0,1,0,0
100,100,100,50.0,0,0,0
73,73,75,79.0,1,2,2
100,100,100,100.0,1,0,0
100,100,100,100.0,1,2,0
100,100,60,56.0,0,2,0
50,20,100,100.0,0,0,0
70,77,50,90.0,0,2,2
23,21,25,50.0,0,2,3
87,89,95,64.0,0,2,1
25,25,35,90.0,1,1,2
70,50,77,67.0,0,0,2
70,90,90,75.0,0,0,1
100,93,50,80.0,0,2,2
79,88,84,86.0,1,2,2
50,50,50,78.0,1,1,2
50,68,25,35.0,1,0,2
